,bhk,price,size,location
581,2,38.2,812,LAL GANESH
582,2,32.6,858,GARCHUK
583,2,46.6,1083,LAL GANESH
584,3,45.0,900,BELTOLA
585,2,59.0,1080,ZOO ROAD
586,3,38.0,700,HENGRABARI
587,3,44.7,1175,GARCHUK
588,3,45.3,1191,GARCHUK
589,3,48.3,1270,GARCHUK
590,3,46.4,1220,GARCHUK
591,3,64.0,930,DISPUR
592,3,46.4,1220,GARCHUK
593,3,60.0,900,MALIGAON
594,2,37.6,799,LAL GANESH
595,2,46.0,1096,JATIA
596,3,76.1,1384,BIRUBARI
597,3,67.0,1100,BHETAPARA
598,3,60.0,1200,GHORAMARA
599,3,80.0,1350,SOUTH SARANIA
600,3,57.8,1193,KHANAPARA
601,2,30.0,1000,KAHILIPARA
602,1,30.4,456,JALUKBARI
603,2,46.0,741,JALUKBARI
604,2,32.0,1000,KAHILIPARA
605,3,87.0,1250,BELTOLA
606,2,50.0,900,RUKMINI GAON
607,3,51.0,1280,SIX MILE
608,2,38.3,850,GANDHI BASTI
609,2,46.8,1040,GANDHI BASTI
610,2,38.3,850,GANDHI BASTI
611,2,46.9,1040,GANDHI BASTI
612,3,58.0,890,BETKUCHI
613,2,46.9,1040,GANDHI BASTI
614,3,56.3,1250,GANDHI BASTI
615,3,56.3,1250,GANDHI BASTI
616,3,56.4,1250,GANDHI BASTI
617,2,51.5,900,SOUTH SARANIA
618,3,47.6,1252,LOKHRA
619,2,39.4,633,BETKUCHI
620,3,74.6,1080,BELTOLA
621,3,74.6,1080,BELTOLA
622,3,74.7,1080,BELTOLA
623,3,73.3,1061,BELTOLA
624,3,73.3,1061,BELTOLA
625,3,73.4,1061,BELTOLA
626,3,48.0,1063,MALIGAON
627,3,58.0,1000,PANJABARI
628,2,40.0,750,KAHILIPARA
629,3,62.0,1309,PANJABARI
630,3,78.2,942,ZOO ROAD
631,2,45.0,880,KAHILIPARA
632,2,59.9,1033,KAHILIPARA
633,3,35.0,913,KAHIKUCHI
634,3,70.0,1200,PANJABARI
635,4,142.0,1205,REHABARI
636,2,50.0,950,SURVEY
637,1,21.8,574,LOKHRA
638,2,54.0,850,NARENGI TINALI
639,3,55.0,1223,JATIA
640,2,47.0,660,JATIA
641,4,144.0,1196,REHABARI
642,2,33.2,591,GARCHUK
643,3,90.8,1211,REHABARI
644,2,125.0,1600,KHARGHULI HILLS
645,2,47.0,1023,BAMUNIMAIDAM
646,2,44.3,705,DHIRENPARA
647,3,64.6,933,JATIA
648,2,39.7,1045,LOKHRA
649,3,53.8,1250,LOKHRA
650,3,62.9,1309,PANJABARI
651,3,63.0,1311,PANJABARI
652,3,63.6,1326,PANJABARI
653,2,55.0,900,BELTOLA
654,3,63.0,1340,GUWAHATI
655,3,56.0,1340,PANJABARI
656,3,92.0,1463,BHETAPARA
657,2,43.0,831,MALIGAON
658,2,43.8,633,BETKUCHI
659,3,86.7,1564,GEETANAGAR
660,2,50.0,1000,HATIGAON
661,3,49.2,886,SATGAON
662,3,70.8,1361,LALMATI
663,3,60.0,1395,LOKHRA
664,3,82.7,1036,GS ROAD
665,5,105.0,1815,ULUBARI
666,2,50.0,1050,BELTOLA
667,2,37.4,675,SATGAON
668,3,44.0,761,KALA PAHAR
669,2,35.0,610,KALA PAHAR
670,2,52.1,717,JALUKBARI
671,1,20.0,398,AZARA
672,3,48.4,750,JALUKBARI
673,3,59.8,1390,LOKHRA
674,3,70.0,1456,LOKHRA ROAD
675,3,64.9,1248,LALMATI
676,3,149.0,1985,BELTOLA
677,3,69.4,1351,KHANAPARA
678,3,65.0,1250,BELTOLA
679,3,74.3,1000,BELTOLA
680,2,32.0,850,JALUKBARI
681,2,35.6,850,JALUKBARI
682,2,30.0,780,JALUKBARI
683,2,33.6,780,JALUKBARI
684,2,31.0,821,JALUKBARI
685,2,34.6,821,JALUKBARI
686,3,38.0,990,JALUKBARI
687,3,41.6,990,JALUKBARI
688,3,39.0,1021,JALUKBARI
689,3,42.6,1021,JALUKBARI
690,3,40.0,1050,JALUKBARI
691,3,43.6,1050,JALUKBARI
692,3,77.0,878,BIRUBARI
693,3,75.0,1200,VIP ROAD
694,3,60.0,1246,BHETAPARA
695,3,53.6,645,JALUKBARI
696,2,47.0,1100,VIP ROAD
697,3,54.0,836,KHANAPARA
698,2,60.0,1000,REHABARI
699,3,50.0,1350,JATIA
700,1,22.0,455,LAL GANESH
701,2,55.0,1106,CHRISTIAN BASTI
702,2,39.9,708,LAL GANESH
703,3,74.4,1370,BELTOLA
704,3,57.8,1194,KHANAPARA
705,3,68.3,1250,BELTOLA
706,2,48.0,1005,TARUN NAGAR
707,3,72.0,967,KAHILIPARA
708,2,52.5,722,KAHILIPARA
709,2,52.0,700,KAHILIPARA
710,3,50.9,1084,LAL GANESH
711,3,80.9,1394,SILPUKHURI
712,3,70.0,1500,PANJABARI
713,2,40.0,968,GUWAHATI
714,2,45.0,950,KAHILIPARA
715,2,58.0,1106,ULUBARI
716,2,57.8,721,KAHILPARA
717,2,40.0,559,AZARA
718,3,53.0,1238,BAGHARBARI
719,3,40.0,645,AZARA
720,3,48.7,725,LOKHRA
721,3,40.0,805,JALUKBARI
722,2,34.0,800,AZARA
723,3,57.4,899,AHOM GAON
724,2,36.0,723,JYOTIKUCHI
725,2,46.5,778,JALUKBARI
726,3,56.0,885,BAGHARBARI
727,2,40.0,622,KHANAPARA
728,3,80.0,1200,GUWAHATI
729,2,38.0,750,KAHILIPARA
730,3,57.3,902,BAGHARBARI
731,2,50.0,750,BAGHARBARI
732,2,36.2,812,KHARGHULI HILLS
733,2,36.3,812,KHARGHULI HILLS
734,2,36.3,812,KHARGHULI HILLS
735,3,60.0,1105,LOKHRA ROAD
736,3,70.3,910,BELTOLA
737,3,45.3,1028,KHARGHULI HILLS
738,3,46.7,1036,KHARGHULI HILLS
739,3,45.4,1028,KHARGHULI HILLS
740,3,46.8,1036,KHARGHULI HILLS
741,3,46.9,1036,KHARGHULI HILLS
742,3,65.0,1250,SIX MILE
743,3,67.8,925,BELTOLA
744,2,50.0,900,BASISHTA
745,3,71.5,1428,PANJABARI
746,3,73.4,968,BELTOLA
747,3,55.0,937,SARABBHATI
748,2,34.1,849,DHARAPUR
749,3,99.5,918,BELTOLA
750,3,53.0,1000,BELTOLA
751,3,75.0,1250,SIX MILE
752,3,57.0,1000,HATIGAON
753,2,49.4,690,BELTOLA
754,2,46.3,962,DWARAKA NAGAR
755,2,51.4,998,KAHILPARA
756,3,60.3,1256,GANESHGURI
757,4,110.00000000000001,2345,KAHILIPARA
758,2,36.4,812,KHARGHULI HILLS
759,3,46.8,1036,KHARGHULI HILLS
760,3,45.4,1028,KHARGHULI HILLS
761,3,45.5,1028,KHARGHULI HILLS
762,2,45.4,655,JALUKBARI
763,3,77.4,1460,KHARGHULI HILLS
764,2,51.5,659,BELTOLA
765,3,55.0,1000,PATOR KUCHI
766,3,80.0,1382,VIP ROAD
767,2,47.8,1139,KAHILIPARA
768,3,81.5,1320,BHANGAGARH
769,3,50.9,862,KHANAPARA
770,3,72.0,1358,BAGHARBARI
771,3,52.1,1126,9TH MILE
772,3,61.0,1270,HATIGAON
773,3,75.0,1100,SIX MILE
774,3,80.0,1400,KAHILIPARA
775,3,85.8,1560,RUKMINI GAON
776,2,47.0,1100,VIP ROAD
777,3,75.0,1100,GUWAHATI
778,3,56.3,1040,PANJABARI
779,3,50.0,1100,PANJABARI
780,3,70.0,1495,HATIGAON
781,3,63.0,1481,SIX MILE
782,2,45.5,815,PANJABARI
783,3,60.0,1100,RUKMINI GAON
784,3,72.8,861,BELTOLA
785,3,66.4,882,BELTOLA
786,3,67.9,1000,BAMUNIMAIDAM
787,3,52.5,950,PANJABARI
788,3,82.0,1550,LACHIT NAGAR
789,3,81.0,1300,NARIKAL BARI
790,3,89.5,985,UZAN BAZAR
791,3,75.6,1344,KAHILIPARA
792,2,32.4,603,AZARA
793,2,43.0,614,BELTOLA
794,3,81.5,1320,BHANGAGARH
795,3,62.3,853,PANJABARI
796,3,50.0,1200,SILPUKHURI
797,2,50.3,927,PANJABARI
798,2,50.0,962,REHABARI
799,3,45.0,1000,SIX MILE
800,3,65.0,1300,GUWAHATI
801,3,64.9,1074,LOKHRA
802,4,70.0,1400,BAMUNIMAIDAM
803,3,70.0,1100,GANDHI BASTI
804,3,68.0,1534,KAHILIPARA
805,3,67.5,1080,BELTOLA
806,3,57.0,1050,BELTOLA
807,2,52.0,1150,RAJGARH ROAD
808,2,45.3,680,BARSAPARA
809,2,60.2,754,RUKMINI GAON
810,2,51.9,900,BELTOLA
811,3,60.6,809,PANJABARI
812,3,62.4,1200,LALMATI
813,4,95.5,1988,KAHILIPARA
814,3,50.0,1000,KAHILIPARA
815,2,42.0,800,KAHILIPARA
816,2,53.9,1036,LALMATI
817,3,67.6,936,SIX MILE
818,3,73.0,916,RUKMINI GAON
819,2,59.0,1282,GUWAHATI
820,2,36.5,653,BIRUBARI
821,2,55.0,1100,PANJABARI BUS STAND
822,2,35.0,650,KALA PAHAR
823,1,25.0,330,PRAGJYOTISH NAGAR
824,3,84.0,1200,GEETANAGAR
825,2,37.0,550,BARSAPARA
826,3,60.0,1400,HATIGAON
827,3,95.0,1563,BHANGAGARH
828,3,60.0,1180,KAHILIPARA
829,4,140.0,1700,SIX MILE
830,3,66.0,1264,PANJABARI
831,3,45.0,1000,KAHILIPARA
832,3,80.0,1280,LAKHIMI NAGAR
833,3,96.5,1755,AMBIKAGIRINAGAR
834,2,50.0,700,LAKHIMI NAGAR
835,3,82.2,1580,VIP ROAD
836,3,71.6,1100,PANJABARI
837,2,45.0,950,DOWNTOWN
838,2,57.0,1076,BAGHARBARI
839,2,45.0,942,HATIGAON
840,3,50.8,750,BARSAPARA
841,3,65.0,1000,SIX MILE
842,3,100.0,2400,GUWAHATI
843,3,98.0,1540,GANDHI BASTI
844,3,70.0,1230,BELTOLA
845,3,63.0,1100,TETELIA
846,3,70.0,1100,SARABBHATI
847,3,62.7,1130,SIX MILE
848,3,77.8,1000,BAMUNIMAIDAM
849,2,70.0,1250,UZAN BAZAR
850,3,70.0,1368,GUWAHATI
851,2,31.0,713,JYOTIKUCHI
852,2,51.5,850,SIX MILE
853,3,45.0,1000,BHETAPARA
854,2,38.0,800,BHETAPARA
855,3,95.5,1540,BHARALUMUKH
856,4,140.0,1820,SARABBHATI
857,2,29.0,670,KAHILIPARA
858,3,61.0,1275,9TH MILE
859,3,72.8,1415,LALMATI
860,2,45.0,799,PATOR KUCHI
861,3,130.0,1450,PAN BAZAR
862,3,60.6,931,BETKUCHI
863,1,17.4,282,9TH MILE
864,2,52.0,1060,SIX MILE
865,2,44.0,1053,MALIGAON
866,3,44.0,792,LAL GANESH
867,3,59.0,1420,MALIGAON
868,2,56.1,980,DATALPARA
869,3,60.8,1012,GANDHI BASTI
870,2,49.5,825,DISPUR
871,2,28.8,800,ADAGUDAM
872,3,69.7,1499,LAKHIMI NAGAR
873,2,42.2,960,ZOO ROAD
874,2,45.1,784,JAPORIGOG
875,3,130.0,2063,ZOO ROAD
876,3,118.0,1914,RUPNAGAR
877,3,65.4,877,AHOM GAON
878,2,41.0,936,HATIGAON
879,3,62.0,950,PANJABARI
880,2,47.3,1050,GHORAMARA
881,3,65.2,1003,HATIGAON
882,3,97.0,1250,SIX MILE
883,3,44.0,1036,KHARGHULI HILLS
884,3,85.0,1540,HENGRABARI
885,3,48.0,1300,BELTOLA
886,2,40.0,800,LOKHRA
887,3,95.0,1700,SIX MILE
888,2,64.0,1534,KAHILIPARA
889,2,51.7,675,KAHILIPARA
890,3,70.7,1026,KAHILIPARA
891,2,48.0,1005,TARUN NAGAR
892,2,45.0,960,BORMOTORIA
893,3,69.4,1443,SIX MILE
894,3,47.0,1200,LOKHRA
895,3,75.0,1200,SIX MILE
896,3,81.9,1365,UZAN BAZAR
897,3,77.1,1285,UZAN BAZAR
898,2,55.2,920,UZAN BAZAR
899,3,65.0,1350,DISPUR
900,3,88.0,1230,DOWNTOWN
901,3,76.0,1255,KAMAKHYA NAGAR
902,3,60.0,930,GUWAHATI
903,3,69.6,1240,VIP ROAD
904,2,53.3,711,KAHILIPARA
905,2,50.0,850,SIX MILE
906,3,65.7,1325,JALUKBARI
907,3,67.6,1202,LOKHRA ROAD
908,3,63.0,1250,CHANDMARI
909,2,46.0,800,SIX MILE
910,3,81.9,1365,UZAN BAZAR
911,3,77.1,1285,UZAN BAZAR
912,2,55.2,920,UZAN BAZAR
913,3,50.4,965,GHORAMARA
914,4,120.0,1450,ZOO ROAD
915,3,91.3,1384,UZAN BAZAR
916,3,90.1,1365,UZAN BAZAR
917,3,84.8,1285,UZAN BAZAR
918,3,53.0,850,VIP ROAD
919,3,56.0,920,VIP ROAD
920,6,2000.0,4500,DIGHALIPUKHURI
921,3,76.0,1000,ZOO ROAD
922,3,46.6,1225,LOKHRA
923,3,54.0,1100,JALUKBARI
924,2,52.6,990,VIP ROAD
925,3,85.0,1200,JAYANAGAR
926,3,67.0,969,BHANGAGARH
927,4,119.0,2200,KALA PAHAR
928,3,64.5,1013,DOWNTOWN
929,2,45.4,760,DOWNTOWN
930,3,55.2,865,DOWNTOWN
931,3,63.0,1100,KAHILIPARA
932,3,64.6,902,PANJABARI
933,3,52.5,1089,BARSAPARA
934,2,98.6,1374,ZOO TINIALI
935,3,55.0,1050,BELTOLA
936,3,62.9,875,PANJABARI
937,3,45.0,920,PATHAR QUARRY
938,3,70.5,968,SIX MILE
939,4,175.0,2695,BELTOLA
940,2,59.8,720,ZOO ROAD
941,3,60.0,850,LACHIT NAGAR
942,4,93.2,1300,BELTOLA
943,3,84.1,1640,KALA PAHAR
944,3,81.0,1177,LACHIT NAGAR
945,3,70.0,938,KHANAPARA
946,2,33.0,566,KAHIKUCHI
947,3,65.6,917,PANJABARI
948,2,50.0,1050,ULUBARI
949,3,64.0,892,PANJABARI
950,3,57.9,813,JALUKBARI
951,3,60.8,1266,HATIGAON
952,3,63.8,889,PANJABARI
953,3,65.0,1150,KAHILIPARA
954,3,84.8,1060,KAHILIPARA
955,3,55.0,976,JALUKBARI
956,1,27.0,521,JALUKBARI
957,1,27.1,521,JALUKBARI
958,3,41.6,885,JALUKBARI
959,2,51.1,1090,JALUKBARI
960,3,45.7,885,JALUKBARI
961,3,63.4,1325,GANESHPARA
962,2,57.9,720,KAHILIPARA
963,3,60.0,1000,RUKMINI GAON
964,3,84.9,1055,BELTOLA
965,2,55.0,850,HATIGAON
966,2,48.0,850,KAHILIPARA
967,1,10.0,200,GUWAHATI
968,3,72.1,1310,ZOO ROAD
969,A,90.0,1000,KHANAPARA
970,3,43.9,760,AZARA
971,3,45.0,760,KHANAPARA
972,2,60.0,1000,CHRISTIAN BASTI
973,2,52.0,950,KAHILIPARA
974,2,48.0,986,PANJABARI
975,2,65.0,1118,BHETAPARA
976,2,33.3,568,AZARA
977,2,49.0,618,PANDU
978,2,53.0,1199,GUWAHATI
979,3,70.0,1100,KAHILIPARA
980,3,50.4,923,AZARA
981,2,54.0,830,LAL GANESH
982,3,70.0,1200,GUWAHATI
983,2,40.0,700,KAHILIPARA
984,2,50.0,1205,HATIGAON
985,3,78.6,1289,GANDHI BASTI
986,3,100.0,1062,KAHILIPARA
987,2,65.0,985,BHANGAGARH
988,2,52.0,800,BHETAPARA
989,3,88.0,1600,BELTOLA
990,2,55.0,1200,ULUBARI
991,3,98.2,1889,SIX MILE
992,3,52.9,1192,LOKHRA
993,2,38.0,680,KAHILIPARA
994,2,65.1,1138,NALAPARA
995,3,66.0,849,PANDU
996,3,49.5,1200,LAL GANESH
997,2,36.9,595,DHARAPUR
998,2,55.0,1100,NALAPARA
999,4,128.0,2927,BHETAPARA
1000,1,30.0,750,GUWAHATI
1001,3,67.9,924,KAHILIPARA
1002,2,40.9,1075,JALUKBARI
1003,2,43.0,779,JATIA
1004,3,65.0,1000,SURVEY
1005,2,42.2,1110,JALUKBARI
1006,3,62.7,1115,BORMOTORIA
1007,4,153.0,3200,PANJABARI
1008,3,72.8,1050,VIP ROAD
1009,2,34.0,618,KAHIKUCHI
1010,3,70.0,1459,GS ROAD
1011,3,56.0,1367,DOWNTOWN
1012,4,90.0,1846,LOKHRA ROAD
1013,2,38.1,890,AHOM GAON
1014,3,41.0,716,KAHIKUCHI
1015,3,43.9,760,KAHIKUCHI
1016,3,105.0,2850,VIP ROAD
1017,3,69.0,1500,CHANDMARI
1018,3,70.0,1150,CHANDMARI
1019,2,50.0,950,HATIGAON
1020,3,75.0,1560,RUKMINI GAON
1021,3,62.0,1100,BELTOLA
1022,3,61.2,1360,BHETAPARA
1023,4,90.0,1846,LOKHRA ROAD
1024,3,55.0,1300,KAHILIPARA
1025,3,55.5,1300,PANJABARI
1026,3,42.7,757,KAHIKUCHI
1027,2,42.0,750,BELTOLA
1028,2,37.0,900,KAHILIPARA
1029,4,107.0,1800,PANJABARI
1030,3,54.0,910,DHIRENPARA
1031,3,58.0,1100,BELTOLA
1032,2,52.8,722,KAHILIPARA
1033,3,50.4,923,KAHIKUCHI
1034,3,55.0,1150,KAHILIPARA
1035,2,57.0,722,KAHILIPARA
1036,2,48.6,639,KHANAPARA
1037,2,50.7,780,BAGHARBARI
1038,3,76.5,1382,KAHILIPARA
1039,3,47.5,970,GHORAMARA
1040,3,62.4,1558,HATIGAON
1041,1,37.0,870,GUWAHATI
1042,3,52.0,1055,JALUKBARI
1043,3,68.0,1100,HATIGAON
1044,3,44.3,790,KAHIKUCHI
1045,6,150.0,3100,BELTOLA
1046,2,34.0,538,DHARAPUR
1047,2,38.0,603,KHANAPARA
1048,3,69.0,1390,GANESHGURI
1049,3,78.0,1350,BELTOLA
1050,3,85.0,1200,JAYANAGAR
1051,3,75.0,1300,DISPUR
1052,3,68.0,1250,JANAKPUR
1053,3,49.2,1295,JALUKBARI
1054,3,49.2,1295,JALUKBARI
1055,2,54.6,1138,NALAPARA
1056,3,68.0,1430,BELTOLA
1057,3,90.0,1200,AZARA
1058,2,50.0,901,PATOR KUCHI
1059,3,74.3,964,PATHAR QUARRY
1060,3,69.8,952,KAHILIPARA
1061,3,78.4,1078,KAHILIPARA
1062,4,140.0,1202,REHABARI
1063,3,50.0,1150,RUKMINI GAON
1064,3,87.4,1578,GEETANAGAR
1065,3,51.6,844,JALUKBARI
1066,2,42.0,1200,SARABBHATI
1067,3,83.0,1384,UZAN BAZAR
1068,2,40.0,900,BHETAPARA
1069,3,56.5,990,VIP ROAD
1070,3,50.0,1350,LANKESHWAR
1071,3,52.2,1306,9TH MILE
1072,3,51.0,1276,9TH MILE
1073,4,180.0,1800,BELTOLA
1074,2,42.6,1064,9TH MILE
1075,2,39.9,997,9TH MILE
1076,1,17.8,445,9TH MILE
1077,3,52.3,1306,9TH MILE
1078,2,42.6,1064,9TH MILE
1079,2,39.9,997,9TH MILE
1080,3,70.0,1000,SIX MILE
1081,2,75.0,810,KAHILIPARA
1082,3,60.0,900,RAJGARH ROAD
1083,3,47.0,1236,LOKHRA
1084,3,91.3,1384,UZAN BAZAR
1085,3,90.1,1365,UZAN BAZAR
1086,3,84.8,1285,UZAN BAZAR
1087,2,36.5,689,LOKHRA
1088,3,80.6,1726,DATALPARA
1089,3,85.6,1711,NOONMATI
1090,3,52.0,1100,KAHILIPARA
1091,3,41.0,644,DHARAPUR
1092,4,100.0,1755,SIX MILE
1093,4,131.0,2310,BIRUBARI
1094,3,70.0,1420,JALUKBARI
1095,2,52.0,1250,HATIGAON
1096,2,45.0,1050,VIP ROAD
1097,3,50.0,1280,AZARA
1098,3,34.0,948,DHARAPUR
1099,2,37.5,691,GHORAMARA
1100,3,52.0,1488,DHARAPUR
1101,3,82.0,1314,SARABBHATI
1102,3,72.0,1500,PANJABARI
1103,3,42.9,1100,LAL GANESH
1104,3,56.5,855,LOKHRA
1105,3,55.0,950,TARUN NAGAR
1106,3,57.5,1300,GHORAMARA
1107,2,41.0,800,JALUKBARI
1108,2,46.0,700,DOWNTOWN
1109,3,69.7,1405,BAMUNIMAIDAM
1110,2,44.8,762,BHETAPARA
1111,3,57.0,1147,SIX MILE
1112,3,71.0,1199,PANJABARI BUS STAND
1113,4,60.0,1050,GOTANAGAR
1114,3,64.4,840,BHETAPARA
1115,2,60.2,1113,BORMOTORIA
1116,2,73.5,1361,BORMOTORIA
1117,3,45.0,1400,CHRISTIAN BASTI
1118,3,99.5,1086,SANTIPUR
1119,3,83.6,968,BIRUBARI
1120,2,33.9,600,DHARAPUR
1121,3,55.0,1100,SIX MILE
1122,2,42.0,819,NOONMATI
1123,3,61.0,1270,HATIGAON
1124,3,60.1,1245,HATIGAON
1125,2,41.7,752,MALIGAON
1126,2,45.0,943,HATIGAON
1127,3,54.5,1200,KHANAMUKH
1128,3,45.0,1145,DISPUR
1129,3,63.0,1060,DISPUR
1130,2,40.0,980,SAWKUCHI
1131,2,45.0,670,JALUKBARI
1132,3,47.0,700,JALUKBARI
1133,3,56.0,977,PANJABARI
1134,3,60.3,1300,GANESHPARA
1135,2,47.4,800,BAGHARBARI
1136,3,40.0,1200,LANKESHWAR
1137,3,65.0,1446,SARUSAJAI
1138,3,61.1,1270,HATIGAON
1139,3,60.0,1245,HATIGAON
1140,3,50.0,900,HATIGAON
1141,3,44.0,1000,PANJABARI
1142,3,60.6,1308,GANESHPARA
1143,3,70.0,1400,DISPUR
1144,3,70.3,1465,HENGRABARI
1145,3,72.0,1050,BAKARAPARA
1146,3,70.3,1355,KAHILIPARA
1147,3,75.5,1460,KAHILIPARA
1148,3,80.1,1555,KAHILIPARA
1149,3,80.4,1560,KAHILIPARA
1150,3,87.3,1700,KAHILIPARA
1151,3,96.2,1882,KAHILIPARA
1152,3,80.8,1388,RAJGARH ROAD
1153,3,70.0,1300,NOONMATI
1154,3,63.9,1681,GARCHUK
1155,3,95.0,1820,KAHILIPARA
1156,2,55.0,1040,LAL GANESH
1157,2,60.1,1113,BORMOTORIA
1158,2,73.5,1361,BORMOTORIA
1159,3,70.3,1465,DOWNTOWN
1160,3,70.2,1355,KAHILIPARA
1161,3,75.4,1460,KAHILIPARA
